epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2337.55,0.01784,1.5506,1.55539,0.95093,0.90926,0.95186,0.6326,0.01765,1.01073,1.45471,0.00145607,0.00145607,0.00145607
43,2393.6,0.01783,1.5276,1.57248,0.91627,0.88954,0.93598,0.58343,0.01922,1.12672,1.56257,0.0014428,0.0014428,0.0014428
44,2451.36,0.01788,1.54345,1.55882,0.948,0.87713,0.93314,0.61507,0.0186,1.00001,1.5347,0.00142953,0.00142953,0.00142953
45,2508.59,0.01793,1.53971,1.55861,0.95014,0.89603,0.94485,0.64386,0.01747,0.98033,1.43981,0.00141627,0.00141627,0.00141627
46,2567.14,0.01777,1.52572,1.56043,0.97016,0.90359,0.9556,0.63745,0.01762,1.00725,1.4514,0.001403,0.001403,0.001403
47,2624.56,0.01791,1.53101,1.58385,0.92813,0.89036,0.93799,0.57231,0.01924,1.16532,1.56046,0.00138973,0.00138973,0.00138973
48,2682.31,0.01767,1.51242,1.54489,0.96161,0.9017,0.94611,0.65065,0.01748,0.99932,1.43807,0.00137647,0.00137647,0.00137647
49,2738.85,0.01766,1.49406,1.54979,0.94269,0.90926,0.95489,0.63207,0.01751,0.96259,1.44999,0.0013632,0.0013632,0.0013632
50,2794.67,0.01764,1.50694,1.55153,0.94579,0.86957,0.93455,0.60919,0.01806,1.07569,1.48262,0.00134993,0.00134993,0.00134993
51,2849.42,0.01756,1.46638,1.54994,0.95316,0.91682,0.95846,0.59837,0.01869,1.03907,1.53345,0.00133667,0.00133667,0.00133667
52,2903.89,0.01756,1.46607,1.55042,0.93981,0.91493,0.94858,0.60805,0.01881,0.97296,1.50739,0.0013234,0.0013234,0.0013234
53,2959.11,0.0176,1.48644,1.54825,0.95635,0.91111,0.95637,0.62616,0.01818,0.98242,1.47374,0.00131013,0.00131013,0.00131013
54,3014.22,0.01798,1.48549,1.56226,0.95238,0.90737,0.94727,0.62821,0.01792,1.02905,1.46345,0.00129687,0.00129687,0.00129687
55,3068.5,0.01741,1.43172,1.54099,0.96679,0.91871,0.95912,0.62614,0.01841,0.93031,1.51195,0.0012836,0.0012836,0.0012836
56,3123.15,0.01759,1.47094,1.55183,0.95852,0.91723,0.955,0.63642,0.01768,0.95675,1.44966,0.00127033,0.00127033,0.00127033
57,3178.86,0.01744,1.44197,1.55308,0.97022,0.9017,0.95124,0.65492,0.01685,0.96089,1.40047,0.00125707,0.00125707,0.00125707
